timestamp,pid,cpu_percent,ram_rss_mb,gpu_vram_mb,gpu_decoder_percent
2026-09-07T05:21:51Z,7392,0.0,10.5,813.0,0.0
2026-09-07T05:22:01Z,7392,0.0,2303.5,1198.0,0.0
2026-09-07T05:22:11Z,7392,0.0,2309.3,1192.0,0.0
2026-09-07T05:22:21Z,7392,0.0,2302.1,1195.0,0.0
2026-09-07T05:22:31Z,7392,0.0,2329.7,1195.0,0.0
2026-09-07T05:22:41Z,7392,0.0,2319.6,1195.0,0.0
2026-09-07T05:22:52Z,7392,0.0,2319.0,1196.0,0.0
2026-09-07T05:23:02Z,7392,0.0,2325.0,1196.0,0.0
2026-09-07T05:23:12Z,7392,0.0,2322.4,1196.0,0.0
2026-09-07T05:23:22Z,7392,0.0,2327.1,1196.0,0.0
2026-09-07T05:23:32Z,7392,0.0,2331.0,1196.0,0.0
2026-09-07T05:23:42Z,7392,0.0,2323.7,1196.0,0.0
2026-09-07T05:23:52Z,7392,0.0,2425.3,1197.0,0.0
2026-09-07T05:24:02Z,7392,0.0,2338.0,1196.0,0.0
2026-09-07T05:24:12Z,7392,0.0,2334.3,1195.0,0.0
2026-09-07T05:24:22Z,7392,0.0,2313.2,1196.0,0.0
2026-09-07T05:24:32Z,7392,0.0,2309.2,1196.0,0.0
2026-09-07T05:24:42Z,7392,0.0,2315.0,1195.0,0.0
2026-09-07T05:24:52Z,7392,0.0,2332.2,1195.0,0.0
2026-09-07T05:25:03Z,7392,0.0,2331.1,1196.0,0.0
2026-09-07T05:25:13Z,7392,0.0,2340.7,1197.0,0.0
2026-09-07T05:25:23Z,7392,0.0,2336.1,1196.0,0.0
2026-09-07T05:25:33Z,7392,0.0,2235.6,1197.0,0.0
2026-09-07T05:25:43Z,7392,0.0,2247.6,1196.0,0.0
2026-09-07T05:25:53Z,7392,0.0,2229.4,1196.0,0.0
2026-09-07T05:26:03Z,7392,0.0,2328.9,1196.0,0.0
2026-09-07T05:26:13Z,7392,0.0,2332.0,1196.0,0.0
2026-09-07T05:26:23Z,7392,0.0,2327.3,1197.0,0.0
2026-09-07T05:26:33Z,7392,0.0,2295.1,1197.0,0.0
2026-09-07T05:26:43Z,7392,0.0,2305.2,1196.0,0.0
