timestamp,pid,cpu_percent,ram_rss_mb,gpu_vram_mb,gpu_decoder_percent
2026-09-06T16:28:29Z,31488,0.0,1.9,709.0,0.0
2026-09-06T16:28:39Z,31488,0.0,718.2,718.0,0.0
2026-09-06T16:28:49Z,31488,0.0,718.4,718.0,0.0
2026-09-06T16:29:00Z,31488,0.0,718.5,718.0,0.0
2026-09-06T16:29:10Z,31488,0.0,718.6,718.0,0.0
2026-09-06T16:29:20Z,31488,0.0,718.6,718.0,0.0
2026-09-06T16:29:30Z,31488,0.0,718.7,718.0,0.0
2026-09-06T16:29:40Z,31488,0.0,718.7,718.0,0.0
2026-09-06T16:29:50Z,31488,0.0,718.8,718.0,0.0
2026-09-06T16:30:01Z,31488,0.0,718.8,718.0,0.0
2026-09-06T16:30:11Z,31488,0.0,718.8,718.0,0.0
2026-09-06T16:30:21Z,31488,0.0,718.8,718.0,0.0
2026-09-06T16:30:31Z,31488,0.0,718.8,718.0,0.0
2026-09-06T16:30:41Z,31488,0.0,718.8,718.0,0.0
2026-09-06T16:30:51Z,31488,0.0,718.8,718.0,0.0
2026-09-06T16:31:01Z,31488,0.0,718.8,718.0,0.0
2026-09-06T16:31:12Z,31488,0.0,718.8,718.0,0.0
2026-09-06T16:31:22Z,31488,0.0,718.8,718.0,0.0
2026-09-06T16:31:32Z,31488,0.0,718.9,718.0,0.0
2026-09-06T16:31:42Z,31488,0.0,718.9,718.0,0.0
2026-09-06T16:31:52Z,31488,0.0,718.9,718.0,0.0
2026-09-06T16:32:02Z,31488,0.0,718.9,718.0,0.0
2026-09-06T16:32:13Z,31488,0.0,719.3,718.0,0.0
2026-09-06T16:32:23Z,31488,0.0,719.3,718.0,0.0
2026-09-06T16:32:33Z,31488,0.0,719.3,718.0,0.0
2026-09-06T16:32:43Z,31488,0.0,719.3,718.0,0.0
2026-09-06T16:32:53Z,31488,0.0,719.3,718.0,0.0
2026-09-06T16:33:03Z,31488,0.0,719.8,718.0,0.0
2026-09-06T16:33:13Z,31488,0.0,719.8,718.0,0.0
2026-09-06T16:33:23Z,31488,0.0,719.8,718.0,0.0
2026-09-06T16:33:34Z,31488,0.0,720.1,718.0,0.0
2026-09-06T16:33:44Z,31488,0.0,720.1,718.0,0.0
2026-09-06T16:33:54Z,31488,0.0,720.1,718.0,0.0
2026-09-06T16:34:04Z,31488,0.0,720.1,718.0,0.0
2026-09-06T16:34:14Z,31488,0.0,720.1,718.0,0.0
2026-09-06T16:34:24Z,31488,0.0,720.1,718.0,0.0
2026-09-06T16:34:35Z,31488,0.0,720.2,718.0,0.0
2026-09-06T16:34:45Z,31488,0.0,720.2,718.0,0.0
2026-09-06T16:34:55Z,31488,0.0,720.2,718.0,0.0
2026-09-06T16:35:05Z,31488,0.0,720.2,718.0,0.0
2026-09-06T16:35:15Z,31488,0.0,720.2,718.0,0.0
2026-09-06T16:35:25Z,31488,0.0,720.2,718.0,0.0
2026-09-06T16:35:35Z,31488,0.0,720.2,718.0,0.0
2026-09-06T16:35:46Z,31488,0.0,720.2,718.0,0.0
2026-09-06T16:35:56Z,31488,0.0,720.2,718.0,0.0
2026-09-06T16:36:06Z,31488,0.0,720.2,718.0,0.0
2026-09-06T16:36:16Z,31488,0.0,720.2,718.0,0.0
2026-09-06T16:36:26Z,31488,0.0,720.1,718.0,0.0
2026-09-06T16:36:36Z,31488,0.0,720.6,718.0,0.0
2026-09-06T16:36:46Z,31488,0.0,720.6,718.0,0.0
2026-09-06T16:36:56Z,31488,0.0,720.6,718.0,0.0
2026-09-06T16:37:07Z,31488,0.0,720.6,718.0,0.0
2026-09-06T16:37:17Z,31488,0.0,720.6,718.0,0.0
2026-09-06T16:37:27Z,31488,0.0,720.6,718.0,0.0
2026-09-06T16:37:37Z,31488,0.0,708.3,718.0,0.0
2026-09-06T16:37:47Z,31488,0.0,687.9,718.0,0.0
2026-09-06T16:37:57Z,31488,0.0,674.5,718.0,0.0
2026-09-06T16:38:07Z,31488,0.0,674.5,718.0,0.0
2026-09-06T16:38:18Z,31488,0.0,674.5,718.0,0.0
2026-09-06T16:38:28Z,31488,0.0,674.5,718.0,0.0
2026-09-06T16:38:38Z,31488,0.0,674.6,718.0,0.0
2026-09-06T16:38:48Z,31488,0.0,674.6,718.0,0.0
2026-09-06T16:38:58Z,31488,0.0,674.6,718.0,0.0
2026-09-06T16:39:08Z,31488,0.0,674.6,718.0,0.0
2026-09-06T16:39:18Z,31488,0.0,674.6,718.0,0.0
2026-09-06T16:39:29Z,31488,0.0,674.6,718.0,0.0
2026-09-06T16:39:39Z,31488,0.0,674.3,718.0,0.0
2026-09-06T16:39:49Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:39:59Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:40:09Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:40:19Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:40:30Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:40:40Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:40:50Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:41:00Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:41:10Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:41:20Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:41:30Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:41:41Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:41:51Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:42:01Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:42:11Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:42:21Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:42:31Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:42:42Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:42:52Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:43:02Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:43:12Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:43:22Z,31488,0.0,674.2,718.0,0.0
2026-09-06T16:43:32Z,31488,0.0,667.7,718.0,0.0
2026-09-06T16:43:43Z,31488,0.0,667.7,718.0,0.0
2026-09-06T16:43:53Z,31488,0.0,667.7,718.0,0.0
