timestamp,pid,cpu_percent,ram_rss_mb,gpu_vram_mb,gpu_decoder_percent
2026-09-06T18:05:14Z,29864,0.0,1.9,937.0,0.0
2026-09-06T18:05:24Z,29864,0.0,719.7,869.0,0.0
2026-09-06T18:05:34Z,29864,0.0,705.1,880.0,0.0
2026-09-06T18:05:44Z,29864,0.0,711.6,785.0,0.0
2026-09-06T18:05:54Z,29864,0.0,694.1,785.0,0.0
2026-09-06T18:06:04Z,29864,0.0,703.7,785.0,0.0
2026-09-06T18:06:15Z,29864,0.0,704.5,785.0,0.0
2026-09-06T18:06:25Z,29864,0.0,712.7,785.0,0.0
2026-09-06T18:06:35Z,29864,0.0,713.6,785.0,0.0
2026-09-06T18:06:45Z,29864,0.0,713.7,785.0,0.0
2026-09-06T18:06:55Z,29864,0.0,713.3,785.0,0.0
2026-09-06T18:07:05Z,29864,0.0,713.6,785.0,0.0
2026-09-06T18:07:15Z,29864,0.0,713.0,785.0,0.0
2026-09-06T18:07:25Z,29864,0.0,713.4,785.0,0.0
2026-09-06T18:07:36Z,29864,0.0,712.7,785.0,0.0
2026-09-06T18:07:46Z,29864,0.0,714.1,785.0,0.0
2026-09-06T18:07:56Z,29864,0.0,713.1,785.0,0.0
2026-09-06T18:08:06Z,29864,0.0,713.1,785.0,0.0
2026-09-06T18:08:16Z,29864,0.0,713.1,785.0,0.0
2026-09-06T18:08:26Z,29864,0.0,714.6,785.0,0.0
2026-09-06T18:08:36Z,29864,0.0,714.1,785.0,0.0
2026-09-06T18:08:47Z,29864,0.0,714.6,785.0,0.0
2026-09-06T18:08:57Z,29864,0.0,715.2,785.0,0.0
2026-09-06T18:09:07Z,29864,0.0,714.5,785.0,0.0
2026-09-06T18:09:17Z,29864,0.0,714.2,785.0,0.0
2026-09-06T18:09:27Z,29864,0.0,713.9,785.0,0.0
2026-09-06T18:09:37Z,29864,0.0,714.2,785.0,0.0
2026-09-06T18:09:47Z,29864,0.0,714.5,785.0,0.0
2026-09-06T18:09:57Z,29864,0.0,714.5,785.0,0.0
2026-09-06T18:10:07Z,29864,0.0,714.8,785.0,0.0
2026-09-06T18:10:18Z,29864,0.0,714.4,785.0,0.0
2026-09-06T18:10:28Z,29864,0.0,714.9,785.0,0.0
2026-09-06T18:10:38Z,29864,0.0,715.2,785.0,0.0
2026-09-06T18:10:48Z,29864,0.0,715.1,785.0,0.0
2026-09-06T18:10:58Z,29864,0.0,715.8,785.0,0.0
2026-09-06T18:11:08Z,29864,0.0,715.2,785.0,0.0
2026-09-06T18:11:18Z,29864,0.0,714.6,785.0,0.0
2026-09-06T18:11:28Z,29864,0.0,714.6,785.0,0.0
2026-09-06T18:11:39Z,29864,0.0,714.0,785.0,0.0
2026-09-06T18:11:49Z,29864,0.0,714.2,785.0,0.0
2026-09-06T18:11:59Z,29864,0.0,714.2,785.0,0.0
2026-09-06T18:12:09Z,29864,0.0,713.9,785.0,0.0
2026-09-06T18:12:19Z,29864,0.0,713.8,785.0,0.0
2026-09-06T18:12:29Z,29864,0.0,714.3,785.0,0.0
2026-09-06T18:12:39Z,29864,0.0,713.7,785.0,0.0
2026-09-06T18:12:49Z,29864,0.0,714.3,785.0,0.0
2026-09-06T18:13:00Z,29864,0.0,714.3,785.0,0.0
2026-09-06T18:13:10Z,29864,0.0,714.0,785.0,0.0
2026-09-06T18:13:20Z,29864,0.0,714.0,785.0,0.0
2026-09-06T18:13:30Z,29864,0.0,714.3,785.0,0.0
2026-09-06T18:13:40Z,29864,0.0,714.0,785.0,0.0
2026-09-06T18:13:50Z,29864,0.0,714.0,785.0,0.0
2026-09-06T18:14:00Z,29864,0.0,713.6,785.0,0.0
