timestamp,pid,cpu_percent,ram_rss_mb,gpu_vram_mb,gpu_decoder_percent
2026-09-07T03:51:37Z,28708,0.0,19.0,822.0,0.0
2026-09-07T03:51:47Z,28708,0.0,2154.5,3983.0,96.0
2026-09-07T03:51:57Z,28708,0.0,2168.0,4198.0,98.0
2026-09-07T03:52:07Z,28708,0.0,2170.3,4318.0,94.0
2026-09-07T03:52:17Z,28708,0.0,2183.8,4377.0,97.0
2026-09-07T03:52:27Z,28708,0.0,2205.6,3972.0,100.0
2026-09-07T03:52:37Z,28708,0.0,2168.3,3988.0,95.0
2026-09-07T03:52:48Z,28708,0.0,2213.2,3972.0,99.0
2026-09-07T03:52:58Z,28708,0.0,2179.0,4019.0,99.0
2026-09-07T03:53:08Z,28708,0.0,2190.6,4153.0,100.0
2026-09-07T03:53:18Z,28708,0.0,2198.6,4288.0,96.0
2026-09-07T03:53:28Z,28708,0.0,2212.7,4348.0,95.0
2026-09-07T03:53:38Z,28708,0.0,2283.5,4168.0,100.0
2026-09-07T03:53:48Z,28708,0.0,2193.3,4138.0,100.0
2026-09-07T03:53:58Z,28708,0.0,2192.5,3943.0,96.0
2026-09-07T03:54:08Z,28708,0.0,2110.4,3943.0,96.0
2026-09-07T03:54:18Z,28708,0.0,2147.9,4259.0,98.0
2026-09-07T03:54:28Z,28708,0.0,2170.7,3929.0,97.0
2026-09-07T03:54:38Z,28708,0.0,2178.7,3914.0,93.0
2026-09-07T03:54:48Z,28708,0.0,2193.9,3958.0,100.0
2026-09-07T03:54:58Z,28708,0.0,2186.0,4258.0,94.0
2026-09-07T03:55:08Z,28708,0.0,2208.8,4198.0,95.0
2026-09-07T03:55:19Z,28708,0.0,2074.0,3929.0,93.0
2026-09-07T03:55:29Z,28708,0.0,2078.8,3974.0,99.0
2026-09-07T03:55:39Z,28708,0.0,2101.0,4126.0,99.0
2026-09-07T03:55:49Z,28708,0.0,2208.9,4123.0,98.0
2026-09-07T03:55:59Z,28708,0.0,2194.5,3958.0,100.0
2026-09-07T03:56:09Z,28708,0.0,2215.9,4183.0,97.0
2026-09-07T03:56:19Z,28708,0.0,2155.2,3989.0,94.0
2026-09-07T03:56:29Z,28708,0.0,2159.3,4184.0,100.0
