timestamp,pid,cpu_percent,ram_rss_mb,gpu_vram_mb,gpu_decoder_percent
2026-09-06T17:14:45Z,24804,0.0,17.3,764.0,0.0
2026-09-06T17:14:55Z,24804,0.0,728.1,773.0,0.0
2026-09-06T17:15:05Z,24804,0.0,728.3,777.0,0.0
2026-09-06T17:15:16Z,24804,0.0,728.3,717.0,0.0
2026-09-06T17:15:26Z,24804,0.0,728.3,717.0,0.0
2026-09-06T17:15:36Z,24804,0.0,728.4,717.0,0.0
2026-09-06T17:15:46Z,24804,0.0,728.4,717.0,0.0
2026-09-06T17:15:56Z,24804,0.0,728.5,717.0,0.0
2026-09-06T17:16:06Z,24804,0.0,728.5,717.0,0.0
2026-09-06T17:16:16Z,24804,0.0,728.5,717.0,0.0
2026-09-06T17:16:27Z,24804,0.0,728.5,717.0,0.0
2026-09-06T17:16:37Z,24804,0.0,728.6,717.0,0.0
2026-09-06T17:16:47Z,24804,0.0,728.6,717.0,0.0
2026-09-06T17:16:57Z,24804,0.0,728.6,717.0,0.0
2026-09-06T17:17:07Z,24804,0.0,728.6,717.0,0.0
2026-09-06T17:17:17Z,24804,0.0,728.6,717.0,0.0
2026-09-06T17:17:27Z,24804,0.0,728.6,717.0,0.0
2026-09-06T17:17:38Z,24804,0.0,728.6,717.0,0.0
2026-09-06T17:17:48Z,24804,0.0,728.6,717.0,0.0
2026-09-06T17:17:58Z,24804,0.0,728.6,717.0,0.0
2026-09-06T17:18:08Z,24804,0.0,728.6,717.0,0.0
2026-09-06T17:18:18Z,24804,0.0,728.6,717.0,0.0
2026-09-06T17:18:28Z,24804,0.0,728.6,717.0,0.0
2026-09-06T17:18:39Z,24804,0.0,728.6,717.0,0.0
2026-09-06T17:18:49Z,24804,0.0,728.6,717.0,0.0
2026-09-06T17:18:59Z,24804,0.0,728.6,717.0,0.0
2026-09-06T17:19:09Z,24804,0.0,728.6,717.0,0.0
2026-09-06T17:19:19Z,24804,0.0,728.6,717.0,0.0
2026-09-06T17:19:29Z,24804,0.0,728.6,717.0,0.0
2026-09-06T17:19:40Z,24804,0.0,728.7,717.0,0.0
2026-09-06T17:19:50Z,24804,0.0,728.9,717.0,0.0
2026-09-06T17:20:00Z,24804,0.0,728.9,717.0,0.0
2026-09-06T17:20:10Z,24804,0.0,728.9,717.0,0.0
2026-09-06T17:20:20Z,24804,0.0,728.9,717.0,0.0
2026-09-06T17:20:30Z,24804,0.0,708.9,717.0,0.0
2026-09-06T17:20:41Z,24804,0.0,688.9,717.0,0.0
2026-09-06T17:20:51Z,24804,0.0,681.8,717.0,0.0
2026-09-06T17:21:01Z,24804,0.0,681.8,717.0,0.0
2026-09-06T17:21:11Z,24804,0.0,681.8,717.0,0.0
2026-09-06T17:21:21Z,24804,0.0,681.8,717.0,0.0
2026-09-06T17:21:31Z,24804,0.0,681.8,717.0,0.0
2026-09-06T17:21:41Z,24804,0.0,681.8,717.0,0.0
2026-09-06T17:21:52Z,24804,0.0,681.8,717.0,0.0
2026-09-06T17:22:02Z,24804,0.0,681.8,717.0,0.0
2026-09-06T17:22:12Z,24804,0.0,681.8,717.0,0.0
2026-09-06T17:22:22Z,24804,0.0,682.0,717.0,0.0
2026-09-06T17:22:32Z,24804,0.0,682.3,717.0,0.0
2026-09-06T17:22:42Z,24804,0.0,682.2,717.0,0.0
2026-09-06T17:22:53Z,24804,0.0,682.2,717.0,0.0
2026-09-06T17:23:03Z,24804,0.0,682.2,717.0,0.0
2026-09-06T17:23:13Z,24804,0.0,682.2,717.0,0.0
2026-09-06T17:23:23Z,24804,0.0,682.2,717.0,0.0
2026-09-06T17:23:33Z,24804,0.0,682.2,717.0,0.0
2026-09-06T17:23:43Z,24804,0.0,682.2,717.0,0.0
2026-09-06T17:23:54Z,24804,0.0,682.2,717.0,0.0
